Spend_ID,Spend_Date,Channel,Spend
138,17/01/2025,LinkedIn,4029
139,18/01/2025,LinkedIn,3131
140,19/01/2025,Google,5051
141,20/01/2025,Facebook,1839
142,21/01/2025,Google,5441
143,22/01/2025,LinkedIn,3121
144,23/01/2025,LinkedIn,4773
145,24/01/2025,Facebook,1409
146,25/01/2025,YouTube,2456
147,26/01/2025,LinkedIn,775
148,27/01/2025,LinkedIn,2589
149,28/01/2025,LinkedIn,5438
150,29/01/2025,LinkedIn,2477
151,30/01/2025,LinkedIn,4658
152,31/01/2025,Facebook,986
153,01/02/2025,LinkedIn,3928
154,02/02/2025,Facebook,4290
155,03/02/2025,Google,1498
156,04/02/2025,LinkedIn,3596
157,05/02/2025,LinkedIn,1124
158,06/02/2025,LinkedIn,4306
159,07/02/2025,LinkedIn,2510
160,08/02/2025,Google,3798
161,09/02/2025,Facebook,3258
162,10/02/2025,LinkedIn,4365
163,11/02/2025,LinkedIn,3233
164,12/02/2025,LinkedIn,3240
165,13/02/2025,Google,3644
166,14/02/2025,Google,2722
167,15/02/2025,LinkedIn,722
168,16/02/2025,LinkedIn,2574
169,17/02/2025,LinkedIn,2418
170,18/02/2025,LinkedIn,3592
171,19/02/2025,Facebook,3556
172,20/02/2025,LinkedIn,2790
173,21/02/2025,Google,4341
174,22/02/2025,LinkedIn,5179
175,23/02/2025,Google,5411
176,24/02/2025,Facebook,5386
177,25/02/2025,LinkedIn,2539
178,26/02/2025,Google,4508
179,27/02/2025,LinkedIn,1370
180,28/02/2025,LinkedIn,953
181,01/03/2025,LinkedIn,3576
182,02/03/2025,Google,1021
183,03/03/2025,LinkedIn,4845
184,04/03/2025,Google,1709
185,05/03/2025,LinkedIn,4621
186,06/03/2025,LinkedIn,3083
187,07/03/2025,Google,3538
188,08/03/2025,LinkedIn,664
189,09/03/2025,LinkedIn,3204
190,10/03/2025,LinkedIn,2484
191,11/03/2025,YouTube,2807
192,12/03/2025,Google,3797
193,13/03/2025,LinkedIn,2136
194,14/03/2025,LinkedIn,672
195,15/03/2025,LinkedIn,4557
196,16/03/2025,YouTube,1128
197,17/03/2025,Google,5166
198,18/03/2025,Google,1461
199,19/03/2025,LinkedIn,2355
200,20/03/2025,LinkedIn,3511
201,21/03/2025,Google,2012
202,22/03/2025,LinkedIn,3174
203,23/03/2025,Facebook,1381
204,24/03/2025,LinkedIn,1619
205,25/03/2025,LinkedIn,2326
206,26/03/2025,YouTube,5076
207,27/03/2025,Google,4416
208,28/03/2025,LinkedIn,3255
209,29/03/2025,Facebook,3264
210,30/03/2025,LinkedIn,3184
211,31/03/2025,YouTube,3481
212,01/04/2025,LinkedIn,936
213,02/04/2025,LinkedIn,5344
214,03/04/2025,LinkedIn,2114
215,04/04/2025,Facebook,4342
216,05/04/2025,LinkedIn,4099
217,06/04/2025,LinkedIn,1290
218,07/04/2025,LinkedIn,1336
219,08/04/2025,LinkedIn,5476
220,09/04/2025,Google,899
221,10/04/2025,Facebook,3851
222,11/04/2025,YouTube,2695
223,12/04/2025,LinkedIn,5040
224,13/04/2025,LinkedIn,1342
225,14/04/2025,YouTube,4818
226,15/04/2025,YouTube,4104
227,16/04/2025,Facebook,2080
228,17/04/2025,LinkedIn,3534
229,18/04/2025,YouTube,2460
230,19/04/2025,LinkedIn,4617
231,20/04/2025,YouTube,1381
232,21/04/2025,LinkedIn,3529
233,22/04/2025,LinkedIn,5159
234,23/04/2025,LinkedIn,2295
235,24/04/2025,LinkedIn,1458
236,25/04/2025,Google,612
237,26/04/2025,Google,3967
238,27/04/2025,LinkedIn,2147
239,28/04/2025,Google,2521
240,29/04/2025,Facebook,3460
241,30/04/2025,LinkedIn,1776
242,01/05/2025,LinkedIn,927
243,02/05/2025,Facebook,5270
244,03/05/2025,LinkedIn,1054
245,02/01/2025,Google,3270
246,03/01/2025,LinkedIn,2861
247,04/01/2025,YouTube,5352
248,05/01/2025,Google,3595
249,06/01/2025,Google,5218
250,07/01/2025,LinkedIn,1963
251,08/01/2025,Google,2747
252,09/01/2025,Facebook,5346
253,10/01/2025,LinkedIn,1185
254,11/01/2025,Facebook,1568
255,12/01/2025,Facebook,4133
256,13/01/2025,Facebook,5157
257,14/01/2025,LinkedIn,4804
258,15/01/2025,LinkedIn,3367
259,16/01/2025,LinkedIn,2747
260,17/01/2025,Facebook,2257
261,18/01/2025,LinkedIn,947
262,19/01/2025,Google,5055
263,20/01/2025,LinkedIn,1159
264,21/01/2025,YouTube,4015
265,22/01/2025,YouTube,5051
266,23/01/2025,LinkedIn,2102
267,24/01/2025,LinkedIn,841
268,25/01/2025,YouTube,938
269,26/01/2025,LinkedIn,5283
270,27/01/2025,Facebook,1447
271,28/01/2025,LinkedIn,1883
272,29/01/2025,Google,4192
273,30/01/2025,LinkedIn,2421
274,31/01/2025,LinkedIn,3344
275,01/02/2025,LinkedIn,4374
276,02/02/2025,Google,3275
277,03/02/2025,LinkedIn,4172
278,04/02/2025,Google,2684
279,05/02/2025,LinkedIn,3452
280,06/02/2025,Google,5062
281,07/02/2025,LinkedIn,3979
282,08/02/2025,Google,5006
283,09/02/2025,LinkedIn,4789
284,10/02/2025,Facebook,1350
285,11/02/2025,Google,1625
286,12/02/2025,Facebook,1244
287,13/02/2025,LinkedIn,2770
288,14/02/2025,Google,570
289,15/02/2025,Facebook,4814
290,16/02/2025,LinkedIn,1990
291,17/02/2025,Facebook,1524
292,18/02/2025,Facebook,563
293,19/02/2025,LinkedIn,4258
294,20/02/2025,LinkedIn,1599
295,21/02/2025,LinkedIn,3414
296,22/02/2025,Google,1789
297,23/02/2025,Google,3077
298,24/02/2025,LinkedIn,1142
299,25/02/2025,LinkedIn,2106
300,26/02/2025,Google,4409
301,27/02/2025,LinkedIn,1002
302,28/02/2025,LinkedIn,3767
303,01/03/2025,LinkedIn,769
304,02/03/2025,LinkedIn,4439
305,03/03/2025,Facebook,5369
306,04/03/2025,LinkedIn,3126
307,05/03/2025,Google,2827
308,06/03/2025,LinkedIn,2471
309,07/03/2025,Google,2717
310,08/03/2025,LinkedIn,4550
311,09/03/2025,Google,5128
312,10/03/2025,LinkedIn,1792
313,11/03/2025,LinkedIn,4620
314,12/03/2025,Facebook,4948
315,13/03/2025,Google,2127
316,14/03/2025,YouTube,1167
317,15/03/2025,LinkedIn,523
318,16/03/2025,LinkedIn,3865
319,17/03/2025,Facebook,3910
320,18/03/2025,LinkedIn,850
321,19/03/2025,LinkedIn,3749
322,20/03/2025,LinkedIn,2634
323,21/03/2025,Facebook,2662
324,22/03/2025,Google,3014
325,23/03/2025,Facebook,4103
326,24/03/2025,Google,3953
327,25/03/2025,YouTube,5186
328,26/03/2025,LinkedIn,1033
329,27/03/2025,Facebook,955
330,28/03/2025,Google,1344
331,29/03/2025,YouTube,4729
332,30/03/2025,LinkedIn,1275
333,31/03/2025,Facebook,898
334,01/04/2025,Google,2252
335,02/04/2025,YouTube,4571
336,03/04/2025,LinkedIn,5424
337,04/04/2025,LinkedIn,4833
338,05/04/2025,LinkedIn,2443
339,06/04/2025,Google,3958
340,07/04/2025,YouTube,2779
341,08/04/2025,Google,3990
342,09/04/2025,LinkedIn,2705
343,10/04/2025,LinkedIn,1090
344,11/04/2025,LinkedIn,4535
345,12/04/2025,LinkedIn,2968
346,13/04/2025,LinkedIn,695
347,14/04/2025,Google,5130
348,15/04/2025,LinkedIn,5393
349,16/04/2025,LinkedIn,854
350,17/04/2025,LinkedIn,3237
351,18/04/2025,YouTube,5298
352,19/04/2025,LinkedIn,3976
353,20/04/2025,LinkedIn,1097
354,21/04/2025,LinkedIn,4140
355,22/04/2025,LinkedIn,3709
356,23/04/2025,LinkedIn,1187
357,24/04/2025,LinkedIn,5499
358,25/04/2025,LinkedIn,2938
359,26/04/2025,YouTube,2998
360,27/04/2025,YouTube,2047
361,28/04/2025,Facebook,1391
362,29/04/2025,Facebook,3296
363,30/04/2025,LinkedIn,2484
364,01/05/2025,Facebook,948
365,02/05/2025,YouTube,3244
366,03/05/2025,LinkedIn,3324
367,04/05/2025,LinkedIn,1673
368,05/05/2025,LinkedIn,4715
369,06/05/2025,Google,1024
370,07/05/2025,Google,4755
371,08/05/2025,Facebook,1890
372,09/05/2025,Facebook,3636
373,10/05/2025,Facebook,1947
374,11/05/2025,Facebook,2178
375,12/05/2025,LinkedIn,3586
376,13/05/2025,LinkedIn,4609
377,14/05/2025,LinkedIn,3581
378,15/05/2025,Facebook,2756
379,16/05/2025,Facebook,3592
380,17/05/2025,LinkedIn,4548
381,18/05/2025,Google,2412
382,19/05/2025,Facebook,2647
383,20/05/2025,Facebook,4974
384,21/05/2025,LinkedIn,1954
385,22/05/2025,LinkedIn,2818
386,23/05/2025,LinkedIn,672
387,24/05/2025,LinkedIn,1817
388,25/05/2025,YouTube,4565
389,26/05/2025,LinkedIn,2266
390,27/05/2025,Facebook,2912
391,28/05/2025,LinkedIn,2835
392,29/05/2025,Google,3493
393,30/05/2025,LinkedIn,5337
394,31/05/2025,LinkedIn,1910
395,01/06/2025,LinkedIn,3028
396,02/06/2025,Google,3865
397,03/06/2025,LinkedIn,2341
398,04/06/2025,LinkedIn,4956
399,05/06/2025,Google,5141
400,06/06/2025,LinkedIn,756
401,07/06/2025,YouTube,548
402,08/06/2025,LinkedIn,3193
403,09/06/2025,LinkedIn,1591
404,10/06/2025,Facebook,2421
405,11/06/2025,Google,2257
406,12/06/2025,YouTube,602
407,13/06/2025,LinkedIn,2347
408,14/06/2025,LinkedIn,2538
409,15/06/2025,LinkedIn,4180
410,16/06/2025,LinkedIn,4600
411,17/06/2025,LinkedIn,1491
412,18/06/2025,Google,3238
413,19/06/2025,LinkedIn,3661
414,20/06/2025,LinkedIn,4491
415,21/06/2025,LinkedIn,3230
416,22/06/2025,Google,3650
417,23/06/2025,YouTube,5026
418,24/06/2025,LinkedIn,1757
419,25/06/2025,YouTube,3659
420,26/06/2025,Facebook,5247
421,27/06/2025,Facebook,4422
422,28/06/2025,Facebook,1474
423,29/06/2025,LinkedIn,1561
424,30/06/2025,Facebook,1041
425,01/07/2025,YouTube,4210
426,02/07/2025,Facebook,1360
427,03/07/2025,LinkedIn,3714
428,04/07/2025,YouTube,3971
429,05/07/2025,LinkedIn,2142
430,06/07/2025,Facebook,5434
431,07/07/2025,LinkedIn,4283
432,08/07/2025,LinkedIn,3424
433,09/07/2025,LinkedIn,3067
434,10/07/2025,LinkedIn,3794
435,11/07/2025,LinkedIn,3167
436,12/07/2025,LinkedIn,2369
437,13/07/2025,LinkedIn,2571
438,14/07/2025,YouTube,1272
439,15/07/2025,Google,1649
440,16/07/2025,Google,4761
441,17/07/2025,Google,3690
442,18/07/2025,Google,2644
443,19/07/2025,YouTube,612
444,20/07/2025,LinkedIn,5494
445,21/07/2025,LinkedIn,3360
446,22/07/2025,LinkedIn,3170
447,23/07/2025,Facebook,4013
448,24/07/2025,LinkedIn,2261
449,25/07/2025,LinkedIn,740
450,26/07/2025,YouTube,2132
451,27/07/2025,Google,4117
452,28/07/2025,LinkedIn,4074
453,29/07/2025,Facebook,776
454,30/07/2025,LinkedIn,3700
455,31/07/2025,LinkedIn,2073
456,01/08/2025,LinkedIn,5352
457,02/08/2025,LinkedIn,4411
458,03/08/2025,Facebook,3043
459,04/08/2025,Facebook,3330
460,05/08/2025,LinkedIn,605
461,06/08/2025,LinkedIn,630
462,07/08/2025,LinkedIn,1806
463,08/08/2025,Google,1385
464,09/08/2025,Google,4292
465,10/08/2025,LinkedIn,4807
466,11/08/2025,LinkedIn,4248
467,12/08/2025,Facebook,4504
468,13/08/2025,Google,3716
469,14/08/2025,LinkedIn,2070
470,15/08/2025,LinkedIn,2387
471,16/08/2025,LinkedIn,4737
472,17/08/2025,LinkedIn,505
473,18/08/2025,LinkedIn,3860
474,19/08/2025,Google,4573
475,20/08/2025,Facebook,4265
476,21/08/2025,LinkedIn,2394
477,22/08/2025,Google,1467
478,23/08/2025,LinkedIn,1824
479,24/08/2025,LinkedIn,919
480,25/08/2025,Facebook,2113
481,26/08/2025,Facebook,1520
482,27/08/2025,Facebook,4413
483,28/08/2025,Facebook,3215
484,29/08/2025,LinkedIn,3837
485,30/08/2025,Facebook,2159
486,31/08/2025,Google,4094
487,01/09/2025,YouTube,3314
488,02/09/2025,LinkedIn,2730
489,03/09/2025,LinkedIn,3635
490,04/09/2025,Facebook,3433
491,05/09/2025,Google,4760
492,06/09/2025,Google,1428
493,07/09/2025,LinkedIn,2732
494,08/09/2025,Google,1572
495,09/09/2025,LinkedIn,2496
496,10/09/2025,LinkedIn,2890
497,11/09/2025,LinkedIn,5219
498,12/09/2025,LinkedIn,1973
499,13/09/2025,Facebook,1920
500,14/09/2025,Google,3647
501,15/09/2025,LinkedIn,4381
502,16/09/2025,Facebook,1703
503,17/09/2025,Google,3038
504,18/09/2025,Google,5427
505,19/09/2025,LinkedIn,861
506,20/09/2025,LinkedIn,2796
507,21/09/2025,Facebook,591
508,22/09/2025,LinkedIn,4886
509,23/09/2025,LinkedIn,1915
510,24/09/2025,LinkedIn,3015
511,25/09/2025,LinkedIn,3429
512,26/09/2025,LinkedIn,3851
513,27/09/2025,LinkedIn,1150
514,28/09/2025,LinkedIn,2768
515,29/09/2025,Facebook,1023
516,30/09/2025,LinkedIn,2745
517,01/10/2025,Facebook,2607
518,02/10/2025,Facebook,2156
519,03/10/2025,LinkedIn,1443
520,04/10/2025,Facebook,3375
521,05/10/2025,LinkedIn,1085
522,06/10/2025,LinkedIn,1334
523,07/10/2025,Google,4797
524,08/10/2025,LinkedIn,3701
525,09/10/2025,Google,4758
526,10/10/2025,LinkedIn,2763
527,11/10/2025,Facebook,2755
528,12/10/2025,YouTube,4386
529,13/10/2025,Google,4202
530,14/10/2025,LinkedIn,3737
531,15/10/2025,Google,4447
532,16/10/2025,LinkedIn,2672
533,17/10/2025,LinkedIn,2472
534,18/10/2025,LinkedIn,1569
535,19/10/2025,Facebook,2293
536,20/10/2025,LinkedIn,2773
537,21/10/2025,LinkedIn,1519
538,22/10/2025,YouTube,1299
539,23/10/2025,LinkedIn,4766
540,24/10/2025,LinkedIn,5428
541,25/10/2025,LinkedIn,1506
542,26/10/2025,Facebook,2235
543,27/10/2025,Facebook,1827
544,28/10/2025,Google,991
545,29/10/2025,LinkedIn,4591
546,30/10/2025,LinkedIn,659
547,31/10/2025,LinkedIn,4502
548,01/11/2025,LinkedIn,4526
549,02/11/2025,LinkedIn,1292
550,03/11/2025,LinkedIn,630
551,04/11/2025,Facebook,2942
552,05/11/2025,LinkedIn,4963
553,06/11/2025,LinkedIn,563
554,07/11/2025,Facebook,4043
555,08/11/2025,YouTube,1630
556,09/11/2025,LinkedIn,626
557,10/11/2025,LinkedIn,1328
558,11/11/2025,Facebook,1788
559,12/11/2025,YouTube,960
560,13/11/2025,LinkedIn,4350
561,14/11/2025,Google,4242
562,15/11/2025,Google,3683
563,16/11/2025,LinkedIn,1371
564,17/11/2025,Google,4273
565,18/11/2025,LinkedIn,3953
566,19/11/2025,Google,1243
567,20/11/2025,Google,1768
568,21/11/2025,LinkedIn,4548
569,22/11/2025,Facebook,4160
570,23/11/2025,Google,867
571,24/11/2025,YouTube,528
572,25/11/2025,LinkedIn,565
573,26/11/2025,LinkedIn,529
574,27/11/2025,Facebook,3271
575,28/11/2025,Facebook,3893
576,29/11/2025,LinkedIn,4510
577,30/11/2025,LinkedIn,4156
578,01/12/2025,LinkedIn,5326
579,02/12/2025,LinkedIn,2494
580,03/12/2025,Google,3936
581,04/12/2025,Google,1910
582,05/12/2025,LinkedIn,1869
583,06/12/2025,Google,3955
584,07/12/2025,YouTube,4582
585,08/12/2025,Google,3418
586,09/12/2025,Google,5105
587,10/12/2025,LinkedIn,4976
588,11/12/2025,LinkedIn,4684
589,12/12/2025,LinkedIn,4181
590,13/12/2025,Facebook,4297
591,14/12/2025,Facebook,4117
592,15/12/2025,Google,1371
593,16/12/2025,LinkedIn,4025
594,17/12/2025,Google,2883
595,18/12/2025,Facebook,1298
596,19/12/2025,LinkedIn,4008
597,20/12/2025,Google,4750
598,21/12/2025,LinkedIn,5057
599,22/12/2025,LinkedIn,4001
600,23/12/2025,Facebook,5063
601,24/12/2025,Google,2143
602,25/12/2025,LinkedIn,2709
603,26/12/2025,LinkedIn,4614
604,27/12/2025,LinkedIn,913
605,28/12/2025,Google,1725
606,29/12/2025,LinkedIn,5310
607,30/12/2025,LinkedIn,4664
608,31/12/2025,LinkedIn,1868
609,01/01/2026,LinkedIn,2474
610,01/01/2025,Facebook,5066
611,02/01/2025,Google,5137
612,03/01/2025,Google,4144
613,04/01/2025,Google,633
614,05/01/2025,LinkedIn,2053
615,06/01/2025,LinkedIn,3759
616,07/01/2025,LinkedIn,2321
617,08/01/2025,Google,4676
618,09/01/2025,LinkedIn,5353
619,10/01/2025,Google,3320
620,11/01/2025,Google,1233
621,12/01/2025,LinkedIn,4628
622,13/01/2025,Facebook,597
623,14/01/2025,Google,5015
624,15/01/2025,LinkedIn,3512
625,16/01/2025,LinkedIn,1930
626,17/01/2025,YouTube,2294
627,18/01/2025,LinkedIn,3187
628,19/01/2025,Google,2918
629,20/01/2025,LinkedIn,2120
630,21/01/2025,Google,3461
631,22/01/2025,LinkedIn,2907
632,23/01/2025,YouTube,820
633,24/01/2025,Google,874
634,25/01/2025,Google,1386
635,26/01/2025,LinkedIn,1636
636,27/01/2025,Facebook,521
637,28/01/2025,LinkedIn,1607
638,29/01/2025,Facebook,1876
639,30/01/2025,LinkedIn,998
640,31/01/2025,Facebook,1635
641,01/02/2025,LinkedIn,2860
642,02/02/2025,LinkedIn,1715
643,03/02/2025,Facebook,2521
644,04/02/2025,Facebook,4490
645,05/02/2025,Google,1715
646,06/02/2025,Google,1214
647,07/02/2025,Facebook,1541
648,08/02/2025,LinkedIn,3517
649,09/02/2025,LinkedIn,1573
650,10/02/2025,LinkedIn,2971
651,11/02/2025,LinkedIn,1244
652,12/02/2025,Facebook,1408
653,13/02/2025,LinkedIn,3214
654,14/02/2025,LinkedIn,2127
655,15/02/2025,Google,2394
656,16/02/2025,Google,1519
657,17/02/2025,Google,3995
658,18/02/2025,LinkedIn,588
659,19/02/2025,LinkedIn,4168
660,20/02/2025,Facebook,1108
661,21/02/2025,LinkedIn,1705
662,22/02/2025,LinkedIn,1120
663,23/02/2025,LinkedIn,3959
664,24/02/2025,Facebook,4399
665,25/02/2025,Google,5417
666,26/02/2025,YouTube,1513
667,27/02/2025,YouTube,3065
668,28/02/2025,YouTube,4380
669,01/03/2025,LinkedIn,1307
670,02/03/2025,YouTube,4348
671,03/03/2025,Facebook,3375
672,04/03/2025,YouTube,5050
673,05/03/2025,LinkedIn,940
674,06/03/2025,LinkedIn,1361
675,07/03/2025,LinkedIn,5409
676,08/03/2025,YouTube,2361
677,09/03/2025,Facebook,4055
678,10/03/2025,LinkedIn,1925
679,11/03/2025,LinkedIn,811
680,12/03/2025,LinkedIn,4639
681,13/03/2025,Facebook,4283
682,14/03/2025,LinkedIn,4420
683,15/03/2025,Google,4402
684,16/03/2025,Google,522
685,17/03/2025,Google,549
686,18/03/2025,LinkedIn,4881
687,19/03/2025,YouTube,4114
688,20/03/2025,LinkedIn,687
689,21/03/2025,Google,5036
690,22/03/2025,YouTube,1582
691,23/03/2025,LinkedIn,3676
692,24/03/2025,Google,5462
693,25/03/2025,LinkedIn,2033
694,26/03/2025,LinkedIn,858
695,27/03/2025,YouTube,931
696,28/03/2025,LinkedIn,4792
697,29/03/2025,LinkedIn,1915
698,30/03/2025,Google,2434
699,31/03/2025,LinkedIn,799
700,01/04/2025,LinkedIn,4057
701,02/04/2025,Google,2052
702,03/04/2025,Facebook,5293
703,04/04/2025,Facebook,5086
704,05/04/2025,LinkedIn,892
705,06/04/2025,LinkedIn,5283
706,07/04/2025,LinkedIn,5178
707,08/04/2025,LinkedIn,2373
708,09/04/2025,LinkedIn,837
709,10/04/2025,Facebook,3522
710,11/04/2025,Google,1434
711,12/04/2025,Google,3245
712,13/04/2025,Facebook,2716
713,14/04/2025,Google,5040
714,15/04/2025,YouTube,3567
715,16/04/2025,YouTube,3564
716,17/04/2025,LinkedIn,3540
717,18/04/2025,LinkedIn,3987
718,19/04/2025,Google,2062
719,20/04/2025,LinkedIn,5105
720,21/04/2025,LinkedIn,1942
721,22/04/2025,LinkedIn,2371
722,23/04/2025,Facebook,3452
723,24/04/2025,Facebook,4120
724,25/04/2025,Google,3235
725,26/04/2025,LinkedIn,2132
726,27/04/2025,LinkedIn,1049
727,28/04/2025,Facebook,1366
728,29/04/2025,Google,4032
729,30/04/2025,LinkedIn,1413
730,01/05/2025,LinkedIn,1441
731,02/05/2025,LinkedIn,1497
732,03/05/2025,Google,3680
733,04/05/2025,LinkedIn,851
734,05/05/2025,LinkedIn,4917
735,06/05/2025,Facebook,1782
736,07/05/2025,LinkedIn,898
737,08/05/2025,Google,3613
738,09/05/2025,LinkedIn,3241
739,10/05/2025,LinkedIn,4581
740,11/05/2025,LinkedIn,565
741,12/05/2025,LinkedIn,4051
742,13/05/2025,LinkedIn,1447
743,14/05/2025,Facebook,2238
744,15/05/2025,LinkedIn,4988
745,16/05/2025,LinkedIn,1849
746,17/05/2025,LinkedIn,2907
747,18/05/2025,Facebook,512
748,19/05/2025,Google,1252
749,20/05/2025,YouTube,824
750,21/05/2025,LinkedIn,3207
751,22/05/2025,LinkedIn,2508
752,23/05/2025,LinkedIn,3621
753,24/05/2025,Facebook,4467
754,25/05/2025,LinkedIn,2264
755,26/05/2025,Google,4579
756,27/05/2025,LinkedIn,5389
757,28/05/2025,YouTube,4361
758,29/05/2025,LinkedIn,4825
759,30/05/2025,LinkedIn,3579
760,31/05/2025,Google,3147
761,01/06/2025,Google,2167
762,02/06/2025,LinkedIn,3147
763,03/06/2025,LinkedIn,4020
764,04/06/2025,YouTube,3794
765,05/06/2025,LinkedIn,3732
766,06/06/2025,LinkedIn,4283
767,07/06/2025,YouTube,3365
768,08/06/2025,YouTube,3936
769,09/06/2025,LinkedIn,5355
770,10/06/2025,Google,2162
771,11/06/2025,Facebook,1912
772,12/06/2025,LinkedIn,2796
773,13/06/2025,LinkedIn,1544
774,14/06/2025,LinkedIn,3221
775,15/06/2025,LinkedIn,789
776,16/06/2025,Google,4166
777,17/06/2025,LinkedIn,1797
778,18/06/2025,Google,669
779,19/06/2025,Google,4000
780,20/06/2025,LinkedIn,4078
781,21/06/2025,LinkedIn,2708
782,22/06/2025,Google,3400
783,23/06/2025,LinkedIn,799
784,24/06/2025,LinkedIn,821
785,25/06/2025,Google,3831
786,26/06/2025,LinkedIn,4265
787,27/06/2025,Google,2641
788,28/06/2025,LinkedIn,4399
789,29/06/2025,Google,1515
790,30/06/2025,LinkedIn,5074
791,01/07/2025,LinkedIn,867
792,02/07/2025,LinkedIn,3679
793,03/07/2025,Google,554
794,04/07/2025,LinkedIn,5226
795,05/07/2025,LinkedIn,803
796,06/07/2025,LinkedIn,3335
797,07/07/2025,Google,4791
